Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75
Hyundai,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5
Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5
Maruti,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6.0
Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74
Hyundai,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35
Nissan,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5
Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5
Volkswagen,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2
Tata,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5,1.95
Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95
Honda,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49
Maruti,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5,5.6
Land,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27.0
Land,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5,17.5
Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15.0
Honda,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4
Maruti,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5,5.99
Renault,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34
Mercedes-Benz,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28.0
BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5,18.55
Maruti,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25
Audi,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5
Hyundai,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5,1.87
Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85
Honda,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25
Nissan,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25
Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75
Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9
Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7,4.0
Renault,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75
Toyota,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75
Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7,12.5
Audi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5
